Title,Directory Categories,Directory Tags,uidd,com,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
Swim Jordan Center,إعاقات متعددة,جهة خاصة;عمان,1399,المراكز والمؤسسات,الأردن,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,جهة خاصة;عمان,1400,المراكز والمؤسسات,الأردن,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,جهة خاصة;عمان,1401,المراكز والمؤسسات,الأردن,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,جهة خاصة;عمان,1402,المراكز والمؤسسات,الأردن,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,الكرك;جهة خاصة,1403,المراكز والمؤسسات,الأردن,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,جهة خاصة;معان,1404,المراكز والمؤسسات,الأردن,962796084240,,معان _ وادي الأشغال 
ملتقى طيف التوحد,مبادرات مجتمعية وأنشطة,,1405,المراكز والمؤسسات,الأردن,962796084240,m.danno@hotmail.com,عمان
جمعية نور البركة,مبادرات مجتمعية وأنشطة,,1406,المراكز والمؤسسات,الأردن,962786030145,nouralbarakah@gmail.com,عمان
الأردن المهيأ,مبادرات مجتمعية وأنشطة,,1407,المراكز والمؤسسات,الأردن,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية 
مشروع الطفل العربي لتنمية القدرات,أماكن صديقة,,1408,المراكز والمؤسسات,الأردن,962795369369,,جرش - مخيم غزة
أنا أتعلم,مبادرات مجتمعية وأنشطة,,1409,المراكز والمؤسسات,الأردن,962789727016,info@ilearnjo.com,جرش
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,,1410,المراكز والمؤسسات,الأردن,962797707421,info@samaak.org,عمان
المسعف الصغير,مبادرات مجتمعية وأنشطة,,1411,المراكز والمؤسسات,الأردن,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب 
مركز تنمية المجتمع المحلي الرويشد,أماكن صديقة,,1412,المراكز والمؤسسات,الأردن,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية 
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,,1413,المراكز والمؤسسات,الأردن,962779575143,,فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين 
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,,1414,المراكز والمؤسسات,الأردن,962791890409,Makaniproject@yahoo.com, الطفيلة _ عين البيضا _ الشارع الرئيسي 
جمعية جبل طارق,أماكن صديقة,,1415,المراكز والمؤسسات,الأردن,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات 
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,,1416,المراكز والمؤسسات,الأردن,962789584052,,الطفيلة _ العيص _ شارع البلدية 
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,,1417,المراكز والمؤسسات,الأردن,962772084203,,دير علا _ طوال الجنوبي 
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,,1418,المراكز والمؤسسات,الأردن,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي 
مركز حمزة - الشوبك,أماكن صديقة,,1419,المراكز والمؤسسات,الأردن,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة 
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,,1420,المراكز والمؤسسات,الأردن,962777286062,K.darawsheh@yahoo.com, معان _ المريغة _ مقابل بلديه الشراه 
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,,1421,المراكز والمؤسسات,الأردن,962779909092,, جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة 
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,,1422,المراكز والمؤسسات,الأردن,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا 
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,,1423,المراكز والمؤسسات,الأردن,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي 
مركز ضرار,أماكن صديقة,,1424,المراكز والمؤسسات,الأردن,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة 
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,,1425,المراكز والمؤسسات,الأردن,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين 
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,,1426,المراكز والمؤسسات,الأردن,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة 
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,,1427,المراكز والمؤسسات,الأردن,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية 
جمعية بيت الكل الخيرية,أماكن صديقة,,1428,المراكز والمؤسسات,الأردن,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين 
مركز الحياة,أماكن صديقة,,1429,المراكز والمؤسسات,الأردن,962795140098,azateemah@internationalmedicalcorps.org,المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة 
مركز الرجيب,أماكن صديقة,,1430,المراكز والمؤسسات,الأردن,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام 
مركز الكرك,أماكن صديقة,,1431,المراكز والمؤسسات,الأردن,962772677940,,الكرك	_ الثنية _ مقابل المنظمة الدنماركية
مركز الدبايبة,أماكن صديقة,,1432,المراكز والمؤسسات,الأردن,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين 
مركز مخيم الزرقاء,أماكن صديقة,,1433,المراكز والمؤسسات,الأردن,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة 
مركز الإيمان,أماكن صديقة,,1434,المراكز والمؤسسات,الأردن,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح 
مركز الوسطية,أماكن صديقة,,1435,المراكز والمؤسسات,الأردن,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
مركز الضليل,أماكن صديقة,,1436,المراكز والمؤسسات,الأردن,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
مركز أيتام مخيم الطالبية,أماكن صديقة,,1437,المراكز والمؤسسات,الأردن,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار 
مركز أيتام البيادر,أماكن صديقة,,1438,المراكز والمؤسسات,الأردن,962775711750,Maysajbara@hotmail.com,عمان_ وادي السير _ البيادر _ خلف مطعم القدس 
مركز أيتام مخيم غزة,أماكن صديقة,,1439,المراكز والمؤسسات,الأردن,962799787140,gazacamp87@gmail.com,جرش _ قصبة جرش _ مقابل مسجد صلاح الدين الأيوبي 
مركز أيتام مخيم مادبا,أماكن صديقة,,1440,المراكز والمؤسسات,الأردن,962780010903,Madaba@islamcc.org,مادبا	_ مخيم مادبا _ الشارع الرئيسي 
مركز فرع الزرقاء,أماكن صديقة,,1441,المراكز والمؤسسات,الأردن,962772334694,h_ancree@yahoo.com,الزرقاء _ قصبة الزرقاء _ شارع الفاروق 
مركز المفرق,أماكن صديقة,,1443,المراكز والمؤسسات,الأردن,962786607054,Braa.alhusban@gmail.com,المفرق _ قصبة المفرق _ شارع الجيش _ مقابل مبنى المحافظة 
مركز الكورة,أماكن صديقة,,1444,المراكز والمؤسسات,الأردن,962780330441,Makani2koura@gmail.com,إربد _ الكورة _ دير أبي سعيد _ بجانب حلويات العفوري 
مركز أبو هريرة,أماكن صديقة,,1445,المراكز والمؤسسات,الأردن,962796378185,,عمان _ قصبة عمان _ شارع حليمة السعدية 
مركز الغور الصافي,أماكن صديقة,,1446,المراكز والمؤسسات,الأردن,962790225180,,الكرك _ الأغوار الجنوبية _ غور الصافي 
مركز غور المزرعة,أماكن صديقة,,1447,المراكز والمؤسسات,الأردن,962795915292,,الكرك	_ الأغوار الجنوبية _ غور المزرعة
مركز مخيم سوف,أماكن صديقة,,1448,المراكز والمؤسسات,الأردن,962796559042,hadiaserha27@gmail.com,جرش	 _ مخيم سوف _ الشارع الرئيسي
مركز أيتام مخيم حطين,أماكن صديقة,,1449,المراكز والمؤسسات,الأردن,962781144988,Mmarkaz@yahoo.com,الزرقاء _ الرصيفة	_ مخيم حطين 
مركز أيتام البقعة,أماكن صديقة,,1450,المراكز والمؤسسات,الأردن,962788752431,baqaber@yahoo.com,البلقاء _ عين الباشا _ مخيم البقعة 
مركز أيتام الرصيفة,أماكن صديقة,,1451,المراكز والمؤسسات,الأردن,962786110131,,الزرقاء _ الرصيفة _ الجبل الشمالي _ دوار البركة 
مركز الوحدات,أماكن صديقة,,1452,المراكز والمؤسسات,الأردن,962780786059,,عمان _ لواء القويسمة _ شارع البسيوني
مركز النظيف لرعاية الأسر الفقيرة,أماكن صديقة,,1453,المراكز والمؤسسات,الأردن,962780010601,ma.hish@yahoo.com,عمان _ جبل النظيف 
مركز مخيم اربد,أماكن صديقة,,1454,المراكز والمؤسسات,الأردن,962790328221,irbed@iccs-dpd.org,إربد _ قصبة إربد _ شارع بلاط الشهدا _ تحت المجمع الشمالي 
مركز صويلح,أماكن صديقة,,1455,المراكز والمؤسسات,الأردن,962788787869,Ibraheem_mansi@yahoo.com,عمان _ لواء الجامعة _ صويلح 
مركز أيتام المزار الجنوبي,أماكن صديقة,,1456,المراكز والمؤسسات,الأردن,962788090695,arrbelal96@gmail.com,الكرك _ المزار الجنوبي _ شارع الإعمار 
مركز أيتام المقابلين,أماكن صديقة,,1457,المراكز والمؤسسات,الأردن,962799518262,mqablain@iccs-dpd.org,عمان _ لواء القويسمة _ منطقة المقابلين 
نايا للتدريب والتنمية المجتمعية,مبادرات مجتمعية وأنشطة,,1458,المراكز والمؤسسات,الأردن,962795109703,Info@Nayajo.org,الزرقاء 
مبادرة بهجة,مبادرات مجتمعية وأنشطة,,1459,المراكز والمؤسسات,الأردن,962795234194,lumajamjoum8@gmail.com,عمان 
آدم ومشمش,مبادرات مجتمعية وأنشطة,,1460,المراكز والمؤسسات,الأردن,962797644765,luma@Adamwamishmish.com,عمان 
نشاطات صديق,مبادرات مجتمعية وأنشطة,,1461,المراكز والمؤسسات,الأردن,962777392255,info@sdeq.com.jo,متوفر إلكترونياً 
مبادرة متلازمة داون معنا، حياتنا لها معنى,مبادرات مجتمعية وأنشطة,,1462,المراكز والمؤسسات,الأردن,962791214898,,جميع محافظات المملكة الأردنية الهاشمية
مركز النور,أماكن صديقة,,1463,المراكز والمؤسسات,الأردن,962796457127,alnoorcenter90@gmail.com,عمان _ القويسمة _ مقابل مدينة الملك عبدالله الثاني الرياضية 
مركز الجوفة,أماكن صديقة,,1464,المراكز والمؤسسات,الأردن,962780010407,Joufeh@iccs-dpd.org,عمان _ منطقة الجوفة 
مركز عز الدين القسام,أماكن صديقة,,1465,المراكز والمؤسسات,الأردن,962780010506,rasha.m.z1984@gmail.com,عمان _ منطقة المحطة _ شارع سوق الخضار
مركز العابورة,أماكن صديقة,,1466,المراكز والمؤسسات,الأردن,962787615663,hussain@iccs-dpd.org,عمان _ جبل الحسين _ بالقرب من المخيم 
مركز عزمي المفتي,أماكن صديقة,,1467,المراكز والمؤسسات,الأردن,962780010405,Srenaalshuqairi@yahoo.com,اربد _ بني عبيد
مجموعة الكرك للدعم الأسري,مجموعات دعم أسري,,1468,المراكز والمؤسسات,الأردن,962796312168,,الكرك، مدرسة المنشية الثانوية الشاملة للبنات 
مجموعة جرش للدعم الأسري,مجموعات دعم أسري,,1469,المراكز والمؤسسات,الأردن,962796921189,,جرش، جمعية سيدات جرش الخيرية مقابل مديرية التنمية الاجتماعية بجانب الكنسية 
مجموعة مأدبا للدعم الأسري,مجموعات دعم أسري,,1470,المراكز والمؤسسات,الأردن,962796062765,,مأدبا، بيت اللقاء 
مجموعة عين الباشا للدعم الأسري,مجموعات دعم أسري,,1471,المراكز والمؤسسات,الأردن,962795062153,,البلقاء، عين الباشا، مركز المنار للتنمية الفكرية 
مجموعة المفرق للدعم الأسري,مجموعات دعم أسري,,1472,المراكز والمؤسسات,الأردن,962790960500,,المفرق، جمعية الأصايل للإبداع والفن التشكيلي 
