0,1,2,3,4,5,6,7,8
Swin Jordan Center,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir1,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir2,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir3,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,habdir4,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الكرك|جهة خاصة,الأردن,habdir5,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|معان,الأردن,habdir6,962796084240,,معان _ وادي الأشغال
ملتقى طيف التوحد,إعاقات متعددة,المراكز والمؤسسات,,الأردن,habdir7,962796084240,m.danno@hotmail.com,عمان
جمعية نور البركة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir8,962786030145,nouralbarakah@gmail.com,عمان
الأردن المهيأ,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir9,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية
مشروع الطفل العربي لتنمية القدرات,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir10,962795369369,,جرش - مخيم غزة
أنا أتعلم,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir11,962789727016,info@ilearnjo.com,جرش
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir12,962797707421,info@samaak.org,عمان
المسعف الصغير,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir13,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب
مركز تنمية المجتمع المحلي الرويشد,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,habdir14,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir15,962779575143,,فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين 
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir16,962791890409,Makaniproject@yahoo.com,الطفيلة _ عين البيضا _ الشارع الرئيسي
جمعية جبل طارق,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir17,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir18,962789584052,,الطفيلة _ العيص _ شارع البلدية
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir19,962772084203,,دير علا _ طوال الجنوبي
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir20,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي
مركز حمزة - الشوبك,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir21,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir22,962777286062,K.darawsheh@yahoo.com,معان _ المريغة _ مقابل بلديه الشراه
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir23,962779909092,,جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir24,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir25,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي
مركز ضرار,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir26,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir27,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir28,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir29,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية
جمعية بيت الكل الخيرية,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir30,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين
مركز الحياة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir31,962795140098,azateemah@internationalmedicalcorps.org,المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة 
مركز الرجيب,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir32,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام
مركز الكرك,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir33,962772677940,,الكرك	_ الثنية _ مقابل المنظمة الدنماركية
مركز الدبايبة,أماكن صديقة,المراكز والمؤسسات,,الأردن,habdir34,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين
