Title,Directory Categories,Directory Tags,com,uid,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
Swim Jordan Center,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1399,الأردن,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1400,الأردن,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1401,الأردن,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,جهة خاصة;عمان,المراكز والمؤسسات,1402,الأردن,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,الكرك;جهة خاصة,المراكز والمؤسسات,1403,الأردن,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,جهة خاصة;معان,المراكز والمؤسسات,1404,الأردن,962796084240,,معان _ وادي الأشغال 
ملتقى طيف التوحد,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1405,الأردن,962796084240,m.danno@hotmail.com,عمان
جمعية نور البركة,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1406,الأردن,962786030145,nouralbarakah@gmail.com,عمان
الأردن المهيأ,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1407,الأردن,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية 
مشروع الطفل العربي لتنمية القدرات,أماكن صديقة,,المراكز والمؤسسات,1408,الأردن,962795369369,,جرش - مخيم غزة
أنا أتعلم,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1409,الأردن,962789727016,info@ilearnjo.com,جرش
