0,1,2,3,4,5,6,7,8
habdir1,Swin Jordan Center,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
habdir2,أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
habdir3,نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
habdir4,المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
habdir5,مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الكرك|جهة خاصة,الأردن,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
habdir6,مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|معان,الأردن,962796084240,,معان _ وادي الأشغال
habdir7,ملتقى طيف التوحد,إعاقات متعددة,المراكز والمؤسسات,,الأردن,962796084240,m.danno@hotmail.com,عمان
habdir8,جمعية نور البركة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962786030145,nouralbarakah@gmail.com,عمان
habdir9,الأردن المهيأ,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية
habdir10,مشروع الطفل العربي لتنمية القدرات,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962795369369,,جرش - مخيم غزة
habdir11,أنا أتعلم,أماكن صديقة,المراكز والمؤسسات,,الأردن,962789727016,info@ilearnjo.com,جرش
habdir12,سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962797707421,info@samaak.org,عمان
habdir13,المسعف الصغير,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب
habdir14,مركز تنمية المجتمع المحلي الرويشد,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية
habdir15,مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779575143,,فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين
habdir16,مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,المراكز والمؤسسات,,الأردن,962791890409,Makaniproject@yahoo.com,الطفيلة _ عين البيضا _ الشارع الرئيسي
habdir17,جمعية جبل طارق,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات
habdir18,مركز تنمية المجتمع المحلي العيص,أماكن صديقة,المراكز والمؤسسات,,الأردن,962789584052,,الطفيلة _ العيص _ شارع البلدية
habdir19,مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772084203,,دير علا _ طوال الجنوبي
habdir20,مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي
habdir21,مركز حمزة - الشوبك,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة
habdir22,مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777286062,K.darawsheh@yahoo.com,معان _ المريغة _ مقابل بلديه الشراه
habdir23,مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,المراكز والمؤسسات,,الأردن,962779909092,,جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة
habdir24,مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,المراكز والمؤسسات,,الأردن,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا
habdir25,مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي
habdir26,مركز ضرار,أماكن صديقة,المراكز والمؤسسات,,الأردن,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة
habdir27,مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين
habdir28,مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة
habdir29,مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية
habdir30,جمعية بيت الكل الخيرية,أماكن صديقة,المراكز والمؤسسات,,الأردن,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين
habdir31,مركز الحياة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795140098,azateemah@internationalmedicalcorps.org,المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة
habdir32,مركز الرجيب,أماكن صديقة,المراكز والمؤسسات,,الأردن,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام
habdir33,مركز الكرك,أماكن صديقة,المراكز والمؤسسات,,الأردن,962772677940,,الكرك	_ الثنية _ مقابل المنظمة الدنماركية
habdir34,مركز الدبايبة,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين
habdir35,مركز مخيم الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة
