Title,Directory Categories,Directory Tags,uidd,com,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
Swim Jordan Center,إعاقات متعددة,جهة خاصة;عمان,habdir1,المراكز والمؤسسات,الأردن,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,جهة خاصة;عمان,habdir2,المراكز والمؤسسات,الأردن,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,جهة خاصة;عمان,habdir3,المراكز والمؤسسات,الأردن,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,جهة خاصة;عمان,habdir4,المراكز والمؤسسات,الأردن,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,الكرك;جهة خاصة,habdir5,المراكز والمؤسسات,الأردن,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,جهة خاصة;معان,habdir6,المراكز والمؤسسات,الأردن,962796084240,,معان _ وادي الأشغال 
ملتقى طيف التوحد,مبادرات مجتمعية وأنشطة,,habdir7,المراكز والمؤسسات,الأردن,962796084240,m.danno@hotmail.com,عمان
جمعية نور البركة,مبادرات مجتمعية وأنشطة,,habdir8,المراكز والمؤسسات,الأردن,962786030145,nouralbarakah@gmail.com,عمان
الأردن المهيأ,مبادرات مجتمعية وأنشطة,,habdir9,المراكز والمؤسسات,الأردن,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية 
مشروع الطفل العربي لتنمية القدرات,أماكن صديقة,,habdir10,المراكز والمؤسسات,الأردن,962795369369,,جرش - مخيم غزة
أنا أتعلم,مبادرات مجتمعية وأنشطة,,habdir11,المراكز والمؤسسات,الأردن,962789727016,info@ilearnjo.com,جرش
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,,habdir12,المراكز والمؤسسات,الأردن,962797707421,info@samaak.org,عمان
المسعف الصغير,مبادرات مجتمعية وأنشطة,,habdir13,المراكز والمؤسسات,الأردن,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب 
