Title,Directory Categories,Directory Tags,com,uid
الجمعية الأردنية للتوحد,توحد,جهة تطوعية|عمان,المراكز والمؤسسات,615
الأكاديمية الملكية للمكفوفين,إعاقات بصرية,جهة حكومية|عمان,المراكز والمؤسسات,616
المركز السعودي لتأهيل وتدريب الكفيفات,إعاقات بصرية,جهة دولية|عمان,المراكز والمؤسسات,617
مركز نازك الحريري الخيري للتربية الخاصة,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,618
جمعية الضياء الخيرية لتربية وتعليم الأطفال المعوقين بصرياً,إعاقات بصرية,جهة تطوعية|عمان,المراكز والمؤسسات,619
جمعية الصداقة للمكفوفين,إعاقات بصرية,جهة تطوعية|عمان,المراكز والمؤسسات,620
جمعية الشهيد عمر المجالي للتبرع بالقرنيات,إعاقات بصرية,جهة تطوعية|عمان,المراكز والمؤسسات,621
جمعية باب الخير للعمل التطوعي,إعاقات متعددة,جهة تطوعية|عمان,المراكز والمؤسسات,622
الأكاديمية الأردنية للتوحد (فرع التأهيل المهني ),توحد,جهة خاصة|عمان,المراكز والمؤسسات,623
الأكاديمية الأردنية للتوحد (الفرع الرئيسي),توحد,جهة خاصة|عمان,المراكز والمؤسسات,624
المركز الأردني التخصصي للتوحد,توحد,جهة خاصة|عمان,المراكز والمؤسسات,625
شركة التواصل للتوحد,توحد,جهة خاصة|عمان,المراكز والمؤسسات,626
جمعية الحسين/مركز الأردن للتدريب والدمج الشامل,إعاقات حركية,جهة تطوعية|عمان,المراكز والمؤسسات,627
جمعية مؤسسة العناية بالشلل الدماغي,إعاقات حركية,جهة تطوعية|عمان,المراكز والمؤسسات,628
جمعية ابن سينا للشلل الدماغي,إعاقات حركية,جهة تطوعية|عمان,المراكز والمؤسسات,629
مركز الشميساني للعلاج الطبيعي,إعاقات حركية,جهة خاصة|عمان,المراكز والمؤسسات,630
جمعية رعاية الصم الخيرية,إعاقات سمعية,جهة تطوعية|عمان,المراكز والمؤسسات,631
مؤسسة الملكة علياء للسمع والنطق,إعاقات سمعية,جهة تطوعية|عمان,المراكز والمؤسسات,632
مركز سمعيات النصر,إعاقات سمعية,جهة حكومية|عمان,المراكز والمؤسسات,633
مركز الصم لتكنولوجيا المعلومات,إعاقات سمعية,جهة حكومية|عمان,المراكز والمؤسسات,634
جمعية الصم والبكم الخيرية,إعاقات سمعية,جهة تطوعية|عمان,المراكز والمؤسسات,635
روضة حكايات الطفولة,صعوبات تعلم,جهة خاصة|عمان,المراكز والمؤسسات,636
مركز جمعية الشابات المسلمات للتربية الخاصة,إعاقات ذهنية,جهة تطوعية|عمان,المراكز والمؤسسات,637
