0,1,2,3,4,5,6,7,8
Swin Jordan Center,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,4ca506f8-b744-4086-a247-dcc4a5ba8af1,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,f14c0fa1-96e8-4780-ac0f-b0ecafe53b92,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,9b507929-0f36-49b7-97ed-475b84eb983f,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,0d531637-25d5-4346-b08b-f22a4caee545,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الكرك|جهة خاصة,الأردن,e0968a41-c79e-42f1-b878-a331ea7733ee,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|معان,الأردن,c6e7161a-e1d0-4d85-a66b-45e3c245475e,962796084240,,معان _ وادي الأشغال
ملتقى طيف التوحد,إعاقات متعددة,المراكز والمؤسسات,,الأردن,4ce6077f-6c8b-47ec-8e16-db99d5cd8be1,962796084240,m.danno@hotmail.com,عمان
جمعية نور البركة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,c16ad283-cb5d-4194-8662-9c30a5138595,962786030145,nouralbarakah@gmail.com,عمان
الأردن المهيأ,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,07bf2f67-4741-4457-aba4-7bdf438814b5,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية
مشروع الطفل العربي لتنمية القدرات,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,09ee55c7-c092-4f51-b80e-2427b54948ae,962795369369,,جرش - مخيم غزة
أنا أتعلم,أماكن صديقة,المراكز والمؤسسات,,الأردن,373b8c67-ef96-4ae1-a546-c609059ab61e,962789727016,info@ilearnjo.com,جرش
