0,1,2,3,4,5,6,7,8
Swin Jordan Center,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,2183,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,2184,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,2185,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|عمان,الأردن,2186,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الكرك|جهة خاصة,الأردن,2187,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة|معان,الأردن,2188,962796084240,,معان _ وادي الأشغال
ملتقى طيف التوحد,إعاقات متعددة,المراكز والمؤسسات,,الأردن,2189,962796084240,m.danno@hotmail.com,عمان
جمعية نور البركة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2190,962786030145,nouralbarakah@gmail.com,عمان
الأردن المهيأ,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2191,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية
مشروع الطفل العربي لتنمية القدرات,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2192,962795369369,,جرش - مخيم غزة
أنا أتعلم,أماكن صديقة,المراكز والمؤسسات,,الأردن,2193,962789727016,info@ilearnjo.com,جرش
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2194,962797707421,info@samaak.org,عمان
المسعف الصغير,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2195,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب
مركز تنمية المجتمع المحلي الرويشد,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,2196,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2197,962779575143,,فقوع	 _ منطقة الحنو _ قرب مسجد الخلفاء الراشدين
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,المراكز والمؤسسات,,الأردن,2198,962791890409,Makaniproject@yahoo.com,الطفيلة _ عين البيضا _ الشارع الرئيسي
جمعية جبل طارق,أماكن صديقة,المراكز والمؤسسات,,الأردن,2199,962772468044,malkawi_yahya@yahoo.com,الزرقاء _ جبل طارق _ شارع سليمان الشقيرات
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,المراكز والمؤسسات,,الأردن,2200,962789584052,,الطفيلة _ العيص _ شارع البلدية
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,المراكز والمؤسسات,,الأردن,2201,962772084203,,دير علا _ طوال الجنوبي
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,المراكز والمؤسسات,,الأردن,2202,962779305002,Sabahhashem20@gmail.com,البتراء _ أم صيحون _ الشارع الرئيسي
مركز حمزة - الشوبك,أماكن صديقة,المراكز والمؤسسات,,الأردن,2203,962777428922,,الشوبك _ مقابل ديوان عشيرة الهباهبة
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2204,962777286062,K.darawsheh@yahoo.com,معان _ المريغة _ مقابل بلديه الشراه
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,المراكز والمؤسسات,,الأردن,2205,962779909092,,جرش، طريق اربد _عمان، منطقة كفر خل، مقابل سجن قفقفة
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,المراكز والمؤسسات,,الأردن,2206,962778490963,juditacomunitycenter@gmail.com,اربد _ لواء الكورة _ جديتا
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,المراكز والمؤسسات,,الأردن,2207,962777554794,Amalaabeh@yahoo.com,اربد _ بيت راس _ منطقة التطوير الحضري _ بجانب المركز الصحي
مركز ضرار,أماكن صديقة,المراكز والمؤسسات,,الأردن,2208,962777341470,majdaalbalawneh@gmail.com,دير علا _ منطقة ضرار بن الأزور _ قرب روضة دير علا الجديدة
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2209,962778630990,aashwetr@yahoo.com,عجلون _ عنجرة _ شارع العشرين
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2210,962778345969,,القويسمة _ أم نوارة _ بقرب مركز صحي أم نوارة
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2211,962796832123,Wesam.abed@gmail.com,الرمثا _ الطرة _ وسط البلد _ دوار أمنية
جمعية بيت الكل الخيرية,أماكن صديقة,المراكز والمؤسسات,,الأردن,2212,962776838970,huhassan@internationalmedicalcorps.org,الزرقاء _ قصبة الزرقاء _ حي معصوم _ خلف مسجد زين العابدين
مركز الحياة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2213,962795140098,azateemah@internationalmedicalcorps.org,المفرق _ قصبة المفرق	_ حي الضباط _ مقابل مسجد مدرسة الصناعة
مركز الرجيب,أماكن صديقة,المراكز والمؤسسات,,الأردن,2214,962791604471,rajeeb@iccs-dpd.org,عمان _ القويسمة _ مقابل اسكان الأمن العام
مركز الكرك,أماكن صديقة,المراكز والمؤسسات,,الأردن,2215,962772677940,,الكرك	_ الثنية _ مقابل المنظمة الدنماركية
مركز الدبايبة,أماكن صديقة,المراكز والمؤسسات,,الأردن,2216,962795002523,dbaibeh@iccs-dpd.org,عمان _ قصبة عمان _ مسجد الرضوان _ مديرية راس العين
مركز مخيم الزرقاء,أماكن صديقة,المراكز والمؤسسات,,الأردن,2217,962797164743,,الزرقاء  _ مخيم الزرقاء _ قرب مخفر الشرطة
مركز الإيمان,أماكن صديقة,المراكز والمؤسسات,,الأردن,2218,962795055176,nShouneh@iccs-dpd.org,إربد _ الأغوار الشمالية _ منطقة الرصانة _ قرب قاعة النور للأفراح
مركز الوسطية,أماكن صديقة,المراكز والمؤسسات,,الأردن,2219,962795803304,wasatish@iccs-dpd.org,إربد _ الوسطية _ منطقة قميم
مركز الضليل,أماكن صديقة,المراكز والمؤسسات,,الأردن,2220,962772163483, dhulail@iccs-dpd.org,الزرقاء _ قصبة الزرقاء _ الضليل
مركز أيتام مخيم الطالبية,أماكن صديقة,المراكز والمؤسسات,,الأردن,2221,962779958636,asmaaabdalrhman94@gmail.com,عمان _ الجيزة _ شارع المطار
