Title,Directory Categories,Directory Tags,com,uidd,country
Swim Jordan Center,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,1399,الأردن
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,1400,الأردن
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,1401,الأردن
المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,جهة خاصة|عمان,المراكز والمؤسسات,1402,الأردن
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,الكرك|جهة خاصة,المراكز والمؤسسات,1403,الأردن
مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,جهة خاصة|معان,المراكز والمؤسسات,1404,الأردن
ملتقى طيف التوحد,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1405,الأردن
جمعية نور البركة,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1406,الأردن
الأردن المهيأ,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1407,الأردن
مشروع الطفل العربي لتنمية القدرات,أماكن صديقة,,المراكز والمؤسسات,1408,الأردن
أنا أتعلم,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1409,الأردن
سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1410,الأردن
المسعف الصغير,مبادرات مجتمعية وأنشطة,,المراكز والمؤسسات,1411,الأردن
مركز تنمية المجتمع المحلي الرويشد,أماكن صديقة,,المراكز والمؤسسات,1412,الأردن
مركز تنمية المجتمع المحلي قرى الحمايدة,أماكن صديقة,,المراكز والمؤسسات,1413,الأردن
مركز تنمية المجتمع المحلي عين البيضا,أماكن صديقة,,المراكز والمؤسسات,1414,الأردن
جمعية جبل طارق,أماكن صديقة,,المراكز والمؤسسات,1415,الأردن
مركز تنمية المجتمع المحلي العيص,أماكن صديقة,,المراكز والمؤسسات,1416,الأردن
مركز تنمية المجتمع المحلي تل المنطح,أماكن صديقة,,المراكز والمؤسسات,1417,الأردن
مركز تنمية المجتمع المحلي أم صيحون,أماكن صديقة,,المراكز والمؤسسات,1418,الأردن
مركز حمزة - الشوبك,أماكن صديقة,,المراكز والمؤسسات,1419,الأردن
مركز تنمية المجتمع المحلي المريغة,أماكن صديقة,,المراكز والمؤسسات,1420,الأردن
مركز تنمية المجتمع المحلي النسيم,أماكن صديقة,,المراكز والمؤسسات,1421,الأردن
مركز تنمية المجتمع المحلي جديتا,أماكن صديقة,,المراكز والمؤسسات,1422,الأردن
مركز تنمية المجتمع المحلي بيت راس,أماكن صديقة,,المراكز والمؤسسات,1423,الأردن
مركز ضرار,أماكن صديقة,,المراكز والمؤسسات,1424,الأردن
مركز تنمية مجتمع محلي عنجرة,أماكن صديقة,,المراكز والمؤسسات,1425,الأردن
مركز تنمية المجتمع المحلي أم نوارة,أماكن صديقة,,المراكز والمؤسسات,1426,الأردن
مركز تنمية المجتمع المحلي الطرة,أماكن صديقة,,المراكز والمؤسسات,1427,الأردن
جمعية بيت الكل الخيرية,أماكن صديقة,,المراكز والمؤسسات,1428,الأردن
مركز الحياة,أماكن صديقة,,المراكز والمؤسسات,1429,الأردن
مركز الرجيب,أماكن صديقة,,المراكز والمؤسسات,1430,الأردن
مركز الكرك,أماكن صديقة,,المراكز والمؤسسات,1431,الأردن
مركز الدبايبة,أماكن صديقة,,المراكز والمؤسسات,1432,الأردن
مركز مخيم الزرقاء,أماكن صديقة,,المراكز والمؤسسات,1433,الأردن
مركز الإيمان,أماكن صديقة,,المراكز والمؤسسات,1434,الأردن
مركز الوسطية,أماكن صديقة,,المراكز والمؤسسات,1435,الأردن
مركز الضليل,أماكن صديقة,,المراكز والمؤسسات,1436,الأردن
مركز أيتام مخيم الطالبية,أماكن صديقة,,المراكز والمؤسسات,1437,الأردن
مركز أيتام البيادر,أماكن صديقة,,المراكز والمؤسسات,1438,الأردن
مركز أيتام مخيم غزة,أماكن صديقة,,المراكز والمؤسسات,1439,الأردن
مركز أيتام مخيم مادبا,أماكن صديقة,,المراكز والمؤسسات,1440,الأردن
مركز فرع الزرقاء,أماكن صديقة,,المراكز والمؤسسات,1441,الأردن
مركز المفرق,أماكن صديقة,,المراكز والمؤسسات,1443,الأردن
مركز الكورة,أماكن صديقة,,المراكز والمؤسسات,1444,الأردن
مركز أبو هريرة,أماكن صديقة,,المراكز والمؤسسات,1445,الأردن
مركز الغور الصافي,أماكن صديقة,,المراكز والمؤسسات,1446,الأردن
مركز غور المزرعة,أماكن صديقة,,المراكز والمؤسسات,1447,الأردن
مركز مخيم سوف,أماكن صديقة,,المراكز والمؤسسات,1448,الأردن
مركز أيتام مخيم حطين,أماكن صديقة,,المراكز والمؤسسات,1449,الأردن
مركز أيتام البقعة,أماكن صديقة,,المراكز والمؤسسات,1450,الأردن
مركز أيتام الرصيفة,أماكن صديقة,,المراكز والمؤسسات,1451,الأردن
مركز الوحدات,أماكن صديقة,,المراكز والمؤسسات,1452,الأردن
