Title,uidd,country
Swim Jordan Center,1399,الأردن
أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,1400,الأردن
نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,1401,الأردن
المركز العلمي للتوحد والاضطرابات النمائية,1402,الأردن
مركز التحدي الأكبر للتربية الخاصة,1403,الأردن
مركز التحدي الأكبر للتربية الخاصة,1404,الأردن
ملتقى طيف التوحد,1405,الأردن
جمعية نور البركة,1406,الأردن
الأردن المهيأ,1407,الأردن
مشروع الطفل العربي لتنمية القدرات,1408,الأردن
أنا أتعلم,1409,الأردن
سامعك للتدريب و التأهيل,1410,الأردن
المسعف الصغير,1411,الأردن
مركز تنمية المجتمع المحلي الرويشد,1412,الأردن
مركز تنمية المجتمع المحلي قرى الحمايدة,1413,الأردن
مركز تنمية المجتمع المحلي عين البيضا,1414,الأردن
جمعية جبل طارق,1415,الأردن
مركز تنمية المجتمع المحلي العيص,1416,الأردن
مركز تنمية المجتمع المحلي تل المنطح,1417,الأردن
مركز تنمية المجتمع المحلي أم صيحون,1418,الأردن
مركز حمزة - الشوبك,1419,الأردن
مركز تنمية المجتمع المحلي المريغة,1420,الأردن
مركز تنمية المجتمع المحلي النسيم,1421,الأردن
مركز تنمية المجتمع المحلي جديتا,1422,الأردن
مركز تنمية المجتمع المحلي بيت راس,1423,الأردن
مركز ضرار,1424,الأردن
مركز تنمية مجتمع محلي عنجرة,1425,الأردن
مركز تنمية المجتمع المحلي أم نوارة,1426,الأردن
مركز تنمية المجتمع المحلي الطرة,1427,الأردن
جمعية بيت الكل الخيرية,1428,الأردن
مركز الحياة,1429,الأردن
مركز الرجيب,1430,الأردن
مركز الكرك,1431,الأردن
مركز الدبايبة,1432,الأردن
مركز مخيم الزرقاء,1433,الأردن
مركز الإيمان,1434,الأردن
مركز الوسطية,1435,الأردن
مركز الضليل,1436,الأردن
مركز أيتام مخيم الطالبية,1437,الأردن
مركز أيتام البيادر,1438,الأردن
مركز أيتام مخيم غزة,1439,الأردن
مركز أيتام مخيم مادبا,1440,الأردن
مركز فرع الزرقاء,1441,الأردن
مركز المفرق,1443,الأردن
مركز الكورة,1444,الأردن
مركز أبو هريرة,1445,الأردن
مركز الغور الصافي,1446,الأردن
مركز غور المزرعة,1447,الأردن
مركز مخيم سوف,1448,الأردن
مركز أيتام مخيم حطين,1449,الأردن
مركز أيتام البقعة,1450,الأردن
مركز أيتام الرصيفة,1451,الأردن
مركز الوحدات,1452,الأردن
مركز النظيف لرعاية الأسر الفقيرة,1453,الأردن
مركز مخيم اربد,1454,الأردن
مركز صويلح,1455,الأردن
