uidd,Title,Directory Categories,com,Directory Tags,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
1399,Swim Jordan Center,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,swimjordan.jo@gmail.com,مجمع الملك حسين للأعمال - King Hussein Business Park
1400,أكاديمية نبض للتعلم التفاعلي والتأهيل الشامل,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962779410971,nabdacademy@gmail.com,عمان - شفا بدران - حي الكون - شارع الفاتح تقاطع زهير بن حرب
1401,نادي رياضي للأشخاص ذو الاحتياجات الخاصة - Super Power Gym,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795454624,m.agh85@yahoo.com,عمان - الدوار السابع - منطقة الروابي - شارع إبراهيم القطان مبنى رقم 62
1402,المركز العلمي للتوحد والاضطرابات النمائية,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795020770,info@scadd.jo,الدوار الثامن - ضاحية الأمير راشد - شارع الكون فيلا رقم 13
1403,مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,الكرك;جهة خاصة,الأردن,962799499050,,الكرك _ بالقرب من مؤسسة الإقراض الزراعي
1404,مركز التحدي الأكبر للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;معان,الأردن,962796084240,,معان _ وادي الأشغال 
1405,ملتقى طيف التوحد,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962796084240,m.danno@hotmail.com,عمان
1406,جمعية نور البركة,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962786030145,nouralbarakah@gmail.com,عمان
1407,الأردن المهيأ,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962797313346,info@accessiblejordan.com,محافظات المملكة الأردنية الهاشمية 
1408,مشروع الطفل العربي لتنمية القدرات,أماكن صديقة,المراكز والمؤسسات,,الأردن,962795369369,,جرش - مخيم غزة
1409,أنا أتعلم,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962789727016,info@ilearnjo.com,جرش
1410,سامعك للتدريب و التأهيل,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962797707421,info@samaak.org,عمان
1411,المسعف الصغير,مبادرات مجتمعية وأنشطة,المراكز والمؤسسات,,الأردن,962790414548,Littleparamedic.jo@gmail.com,جرش بشكل أساسي و باقي المحافظات حسب الطلب 
1412,مركز تنمية المجتمع المحلي الرويشد,أماكن صديقة,المراكز والمؤسسات,,الأردن,962798797826,tahapk@yahoo.com,الرويشيد _ مقابل محطة محروقات الرويشد _ بجانب المؤسسة الإستهلاكية المدنية 
